SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Cia de Pesquisa de Recursos Minerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;2/8/2010 08:37:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ1004992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;C.C. 4068-500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 1560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;28/7/2010 08:37:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICP40B
VC-R-48-B ;IBY531;ROCHA;0,16;0,07;<0.01;0,48;<0.01;0,04;0,01;0,02;0,02;>90;<0.01;0,05;102,88;0,05;0,09;<1;<5;<0.1;<0.04;0,06;<0.02;0,55;0,4;5;<5;1,7;0,35;0,3;<0.02;<0.02;<0.01;0,2;<1;<0.01;0,02;<0.01;0,39;<0.01;0,4;1,5;63;1,5;<0.2;<0.1;<0.01;<0.05;<0.5;<2;0,9;1,2;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;<0.1;0,2;<0.1;4;1,1;N.A.
VC-R-56-A ;IBY532;ROCHA;0,32;32,18;<0.01;0,17;0,11;17,19;<0.01;0,16;5,41;3,27;0,02;39,07;97,91;0,04;0,19;<1;29;0,1;<0.04;>15;0,39;6,34;0,7;5;<5;3,9;0,12;0,7;<0.02;<0.02;0,13;3,1;4;0,06;9,26;<0.01;0,15;0,04;0,4;18,2;>10000;2,3;4,7;<0.1;0,01;0,07;<0.5;<2;1,2;129;<0.05;0,07;<0.05;0,3;<0.01;<0.02;1,9;<1;0,2;6,4;0,3;21;1,2;2,09
VC-R-56-B ;IBY533;ROCHA;1,76;46,24;<0.01;0,72;0,09;0,32;0,02;0,23;>25;8;0,06;2,05;95,18;0,38;0,99;4;169;2,4;<0.04;>15;0,19;23,05;4;23;<5;5,2;0,49;3,2;<0.02;<0.02;0,09;8,5;6;0,23;0,18;0,02;0,21;0,04;1;19,1;>10000;4,4;5,2;<0.1;0,03;0,19;1,9;<2;1,3;721;<0.05;0,35;<0.05;1,5;0,03;<0.02;7,8;20;1;21,7;1,6;38;1,2;8,5
VC-R-57-A ;IBY534;ROCHA;0,52;28,5;<0.01;0,27;0,16;19,17;0,01;0,08;0,51;2,22;0,02;44,79;96,26;0,04;0,32;<1;20;0,1;<0.04;>15;0,14;5,39;0,9;13;<5;2,7;0,2;0,8;0,12;<0.02;0,16;2,2;5;<0.01;11,06;<0.01;0,12;0,05;1,3;10,7;2125;1,5;6,5;<0.1;0,04;<0.05;<0.5;<2;0,8;66,4;<0.05;<0.05;<0.05;0,8;0,01;<0.02;0,8;<1;<0.1;1,9;0,1;26;5,3;N.A.
VC-R-57-B ;IBY535;ROCHA;0,49;50,38;<0.01;0,23;0,02;0,08;0,02;0,06;>25;4,03;0,02;0,93;95,92;0,21;0,29;4;113;2,6;<0.04;>15;0,29;9,51;2,2;24;<5;4,2;0,17;1,7;<0.02;<0.02;0,02;3,4;3;0,12;0,18;0,02;0,25;0,04;0,5;18,7;>10000;2,7;<0.2;<0.1;0,04;0,13;0,5;<2;0,7;685;<0.05;0,17;<0.05;0,4;<0.01;<0.02;9,3;24;0,4;13,5;0,9;37;0,9;8,67
VC-R-70-A ;IBY536;ROCHA;0,18;31;<0.01;0,16;0,06;19,29;0,02;0,05;0,12;1,06;<0.01;45,22;97,18;0,05;0,11;<1;17;<0.1;<0.04;>15;0,12;2,92;0,6;5;<5;1,5;0,12;0,3;0,1;<0.02;0,06;1,1;3;0,01;11,23;0,01;0,19;0,05;0,2;10,7;556;1,5;1,2;<0.1;0,01;0,06;0,6;<2;1,5;71,6;<0.05;<0.05;<0.05;0,7;<0.01;<0.02;1,7;<1;0,2;3;0,2;10;5,5;N.A.
VC-R-70-B ;IBY537;ROCHA;0,81;0,6;<0.01;0,74;0,05;0,14;0,02;0,02;0,37;>90;0,02;0,56;98,79;0,06;0,49;<1;45;0,2;<0.04;0,46;<0.02;6,51;1,3;8;<5;3;0,57;1,1;0,09;<0.02;0,04;2,7;3;<0.01;0,08;0,01;0,4;<0.01;0,4;2,5;1656;2,6;2,6;<0.1;<0.01;0,16;<0.5;<2;0,9;23,2;<0.05;<0.05;<0.05;0,5;0,01;<0.02;0,5;4;<0.1;1,7;0,1;16;3,9;N.A.
VC-R-84-A ;IBY538;ROCHA;0,9;30,87;<0.01;0,36;0,34;16,96;0,02;0,03;0,1;3,07;0,04;44,1;96,8;0,06;0,53;<1;51;0,2;<0.04;>15;0,14;8,96;1;7;<5;2;0,28;1,1;0,17;<0.02;0,3;3,8;13;0,05;9,74;0,01;0,11;0,02;0,7;10,9;376;3,3;12,2;<0.1;<0.01;0,11;<0.5;<2;1,1;114;<0.05;0,1;<0.05;0,9;0,02;0,02;1,3;3;<0.1;7,8;0,6;20;7,1;N.A.
VC-R-84-B ;IBY539;ROCHA;1,92;0,35;0,01;1;0,57;0,32;0,02;0,01;0,21;>90;0,1;0,88;101,14;2,67;1,05;4;102;0,6;<0.04;0,34;0,04;22,52;1,5;63;<5;12,6;0,72;2,7;0,52;<0.02;0,5;10,1;7;0,17;0,19;0,01;2,85;0,03;1,8;3,9;940;6,1;19,2;<0.1;0,02;1,1;1,4;<2;1,5;16,8;<0.05;0,24;<0.05;2,1;0,05;0,14;1,1;145;0,3;14,4;1,4;63;16,7;N.A.
VC-R-85 ;IBY540;ROCHA;0,32;33,19;<0.01;0,17;0,08;17,4;<0.01;0,1;0,28;1,24;0,02;44,92;97,73;0,05;0,2;<1;20;0,1;<0.04;>15;<0.02;8,67;0,6;6;<5;1,2;0,12;0,5;0,1;<0.02;0,08;4,7;4;<0.01;9,81;<0.01;<0.05;0,02;0,5;11,5;561;2,3;2,5;<0.1;0,01;<0.05;<0.5;<2;0,9;165;<0.05;0,1;<0.05;0,5;0,01;<0.02;2,8;9;0,1;6,3;0,2;14;4,5;N.A.
VC-R-1 ;IBY541;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;0,02;<1;5;<0.1;<0.04;>15;0,02;0,35;0,4;2;<5;1,2;0,03;<0.1;<0.02;<0.02;<0.01;0,1;<1;<0.01;12,25;<0.01;0,07;0,02;0,4;11;184;1,2;<0.2;<0.1;<0.01;<0.05;<0.5;<2;1;34,9;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;0,2;<1;<0.1;0,1;<0.1;18;<0.5;N.A.
VC-R-2 ;IBY542;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;0,02;<1;10;<0.1;<0.04;>15;0,07;0,36;0,4;3;<5;1;0,03;<0.1;0,03;<0.02;<0.01;0,1;1;<0.01;11,38;<0.01;0,06;0,04;<0.1;12,3;245;1,4;<0.2;<0.1;<0.01;<0.05;<0.5;<2;1,2;66,6;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;0,3;<1;<0.1;0,1;<0.1;36;2,5;N.A.
VC-R-3 ;IBY543;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;0,03;<1;8;<0.1;<0.04;>15;0,03;0,41;0,4;2;<5;1,4;0,04;<0.1;<0.02;<0.02;<0.01;0,1;<1;<0.01;12,14;<0.01;<0.05;0,02;0,4;11,8;205;1,6;<0.2;<0.1;<0.01;<0.05;<0.5;<2;1;48,4;0,08;<0.05;<0.05;<0.2;<0.01;<0.02;0,2;<1;<0.1;0,1;<0.1;27;<0.5;N.A.
VC-R-4 ;IBY544;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;0,03;<1;35;<0.1;<0.04;>15;<0.02;0,24;0,4;<1;<5;1,1;0,04;<0.1;<0.02;<0.02;<0.01;<0.1;<1;<0.01;11,58;<0.01;<0.05;0,03;0,1;10,2;217;1,6;<0.2;<0.1;<0.01;<0.05;0,5;<2;0,6;59,3;0,1;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;<0.1;<0.1;<0.1;3;2,5;N.A.
VC-R-5 ;IBY545;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;0,03;<1;208;<0.1;<0.04;>15;<0.02;0,68;0,4;<1;<5;0,7;0,05;<0.1;0,07;<0.02;0,01;0,5;<1;0,01;10,26;<0.01;0,25;0,08;0,2;10,3;219;3,4;3,5;<0.1;<0.01;<0.05;0,5;<2;0,7;65,1;<0.05;<0.05;<0.05;0,3;<0.01;<0.02;0,1;<1;<0.1;0,4;<0.1;5;1,6;N.A.
VC-R-6 ;IBY546;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;0,04;<1;7;<0.1;<0.04;>15;0,03;0,43;0,5;1;<5;0,5;0,04;<0.1;<0.02;<0.02;0,01;0,2;<1;<0.01;11,12;<0.01;<0.05;0,02;0,2;11;189;1;1,4;<0.1;<0.01;<0.05;<0.5;<2;0,7;60,2;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;<0.1;0,2;<0.1;7;<0.5;N.A.
VC-R-7 ;IBY547;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;0,34;<1;29;<0.1;<0.04;>15;<0.02;3,08;0,9;3;<5;1,7;0,2;0,7;0,1;<0.02;0,2;1,3;4;<0.01;10,96;<0.01;0,12;0,02;0,4;10,8;232;1,6;10,6;<0.1;0,04;0,3;<0.5;<2;0,8;106;<0.05;<0.05;<0.05;0,5;0,01;<0.02;0,5;<1;<0.1;1,1;<0.1;9;4,4;N.A.
VC-R-8 ;IBY548;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;0,08;<1;8;<0.1;<0.04;>15;<0.02;0,86;0,5;1;<5;0,7;0,07;0,2;0,03;<0.02;0,03;0,4;2;<0.01;10,37;<0.01;0,06;0,03;0,5;10;101;1;0,6;<0.1;0,01;<0.05;<0.5;<2;0,8;131;0,21;<0.05;<0.05;<0.2;<0.01;<0.02;0,1;<1;1;0,2;<0.1;6;2,5;N.A.
VC-R-9 ;IBY549;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;0,08;<1;12;<0.1;<0.04;>15;<0.02;0,93;0,5;2;<5;0,6;0,06;0,2;0,04;<0.02;0,02;0,4;1;<0.01;10,71;<0.01;0,18;0,02;0,5;11;499;1;0,3;<0.1;0,01;<0.05;<0.5;<2;1;129;0,07;<0.05;<0.05;<0.2;<0.01;<0.02;0,4;<1;<0.1;0,3;<0.1;5;1,5;N.A.
VC-R-10 ;IBY550;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;0,22;<1;12;<0.1;<0.04;9,29;<0.02;2,02;0,7;2;<5;22,6;0,31;0,5;0,04;<0.02;<0.01;0,6;2;<0.01;4,23;<0.01;0,91;<0.01;0,3;5,1;154;1,1;<0.2;<0.1;<0.01;<0.05;<0.5;<2;1;38,4;<0.05;<0.05;<0.05;0,2;<0.01;<0.02;0,2;<1;<0.1;0,4;<0.1;5;2,2;N.A.
VC-R-11 ;IBY551;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;0,35;1;67;<0.1;<0.04;0,09;<0.02;4,42;1,3;5;<5;2,4;0,37;0,8;0,1;<0.02;<0.01;1,4;2;<0.01;0,04;0,04;0,39;<0.01;0,5;1,7;67;2,3;<0.2;<0.1;<0.01;0,1;<0.5;<2;1,7;1,9;<0.05;<0.05;<0.05;0,4;0,01;0,02;0,2;3;<0.1;0,7;<0.1;5;4,2;N.A.
VC-R-12 ;IBY552;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;0,02;<1;18;<0.1;<0.04;>15;<0.02;0,44;0,4;1;<5;0,6;0,09;<0.1;<0.02;<0.02;<0.01;0,2;1;<0.01;9,44;<0.01;1,21;0,02;0,1;10,6;119;1,5;<0.2;<0.1;0,02;<0.05;<0.5;<2;0,9;104;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;0,4;<1;<0.1;<0.1;<0.1;4;<0.5;N.A.
VC-R-13 ;IBY553;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;0,04;<1;48;<0.1;<0.04;14,79;<0.02;0,47;0,4;3;<5;1,4;0,25;0,1;<0.02;<0.02;<0.01;0,1;<1;<0.01;7,32;<0.01;0,4;0,02;0,2;7,9;234;0,8;<0.2;<0.1;<0.01;<0.05;<0.5;<2;0,9;64,3;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;0,2;<1;<0.1;0,1;<0.1;3;<0.5;N.A.
VC-R-14 ;IBY554;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,51;0,32;2;213;0,1;<0.04;0,17;<0.02;57,8;0,4;8;<5;2,3;0,46;1,5;0,11;<0.02;0,01;31,9;10;0,05;0,06;0,01;0,76;<0.01;0,2;1,4;432;7,4;<0.2;<0.1;<0.01;0,29;<0.5;<2;1;52,8;<0.05;0,98;<0.05;0,6;<0.01;<0.02;0,2;3;<0.1;10,4;0,7;3;5,6;N.A.
VC-R-15 ;IBY555;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;0,18;2;24;<0.1;<0.04;>15;0,66;4,57;1,3;15;<5;5,3;0,15;0,5;0,1;<0.02;0,09;2,2;5;0,04;12,98;0,02;0,29;0,04;0,4;13,8;5005;2,6;7,4;<0.1;<0.01;0,23;<0.5;<2;0,7;68,1;<0.05;<0.05;<0.05;0,7;<0.01;<0.02;0,6;6;0,2;1,8;0,1;20;3,6;N.A.
VC-R-16 ;IBY556;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;0,02;<1;11;<0.1;<0.04;>15;<0.02;0,25;0,4;2;<5;0,6;0,05;<0.1;<0.02;<0.02;<0.01;<0.1;<1;<0.01;11,95;<0.01;0,11;0,02;0,1;10,3;176;0,9;<0.2;<0.1;<0.01;<0.05;<0.5;<2;0,8;49;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;<0.1;<0.1;<0.1;3;<0.5;N.A.
VC-R-17 ;IBY557;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;0,32;<1;34;<0.1;<0.04;>15;<0.02;3,44;0,6;3;<5;1,7;0,17;0,7;0,18;<0.02;0,22;1,5;4;<0.01;11,61;<0.01;0,08;0,03;0,6;10,5;235;1,3;6,8;<0.1;0,02;<0.05;0,8;<2;0,8;61,9;0,19;<0.05;<0.05;0,4;0,01;<0.02;0,1;<1;<0.1;1,3;0,1;5;7,5;N.A.
VC-R-18 ;IBY558;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;0,04;<1;8;<0.1;<0.04;>15;<0.02;0,32;0,5;1;<5;0,9;0,05;<0.1;<0.02;<0.02;0,01;<0.1;<1;<0.01;12,41;<0.01;0,07;0,01;0,2;10,9;184;1,5;<0.2;<0.1;<0.01;<0.05;<0.5;<2;0,7;38,3;0,06;<0.05;<0.05;<0.2;<0.01;<0.02;<0.1;<1;<0.1;0,1;<0.1;3;<0.5;N.A.
VC-R-19 ;IBY559;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,02;0,19;<1;33;<0.1;<0.04;>15;1,33;3,47;0,9;2;<5;1,9;0,14;0,6;0,06;<0.02;0,11;1,2;5;<0.01;10,98;0,01;0,12;0,02;0,3;11,1;8080;1,8;3;<0.1;<0.01;<0.05;<0.5;<2;0,9;74,1;<0.05;<0.05;<0.05;0,4;<0.01;<0.02;0,8;<1;<0.1;1;<0.1;15;2,2;N.A.
VC-R-22 ;IBY560;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;0,17;<1;18;<0.1;<0.04;>15;<0.02;1,66;0,7;4;<5;1,1;0,14;0,4;0,03;<0.02;0,09;0,8;1;<0.01;5,12;0,01;0,07;0,01;0,2;15,6;578;2,7;1,7;<0.1;<0.01;<0.05;<0.5;<2;0,8;409;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;1;<1;<0.1;1,3;<0.1;5;1,6;N.A.
VC-R-23-A ;IBY561;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;0,11;<1;11;<0.1;<0.04;>15;<0.02;1,49;0,7;1;<5;1,3;0,08;0,3;<0.02;<0.02;0,07;0,6;1;<0.01;1,64;<0.01;0,14;<0.01;0,3;18,6;224;1;1;<0.1;<0.01;0,1;<0.5;<2;0,8;389;<0.05;<0.05;<0.05;<0.2;<0.01;<0.02;0,9;<1;<0.1;0,9;<0.1;8;0,9;N.A.
VC-R-23-B ;IBY562;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;0,35;<1;24;<0.1;<0.04;>15;<0.02;3,55;0,8;3;<5;1,3;0,18;0,7;0,1;<0.02;0,2;1,5;7;<0.01;4,24;<0.01;4,45;0,01;0,7;16,8;287;1,4;6,5;<0.1;<0.01;<0.05;<0.5;<2;0,9;378;<0.05;<0.05;<0.05;0,5;0,01;<0.02;0,6;<1;<0.1;1,7;0,1;7;3,7;N.A.
