SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;CPRM - Cia de Pesquisa de Recursos Minerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;19/08/2010 20:15:42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ1005407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;C.C. 4068-500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;Lote 1562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;19/08/2010 20:15:42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICP40B
RG-L-207;IBY851;SOLO;0,06;8,03;15;990;2;0,41;0,5;<0.02;99,57;12,4;42;9;25,5;4,38;17,7;4,25;0,07;0,5;51,4;58;0,52;0,3;0,05;1,3;0,34;15,6;23,6;1524;27,7;31,3;<0.1;0,02;1,2;13,8;<2;3,3;82,4;1,3;1,14;0,09;17,4;0,55;0,68;4,1;106;2,8;32,6;3,3;56;154,4;N.A.
RG-L-208;IBY852;SOLO;0,05;6,64;15;150;1,7;0,42;0,43;0,05;101,57;14,3;47;10;22,6;4,32;17;4,28;0,08;0,41;49;56;0,53;0,28;0,06;0,65;0,06;18,3;20,3;1091;29,2;37,2;<0.1;0,02;1,05;13,9;<2;3,5;50,2;1,41;1,2;0,12;18,3;0,63;0,81;4,7;107;3;31,9;3,5;45;150;N.A.
RG-L-209;IBY853;SOLO;0,05;6,9;15;158;1,9;0,43;0,51;0,06;104,54;14,2;46;11;23,2;4,29;16,6;4,31;0,06;0,45;50,6;64;0,53;0,33;0,06;0,6;0,08;18,7;20,3;887;29,3;39,5;<0.1;0,02;1,09;14,2;<2;3,4;44,3;1,11;1,22;0,07;18,6;0,66;0,85;5,2;114;2,6;32,5;3,5;43;158,5;N.A.
RG-L-210;IBY854;SOLO;0,07;7,67;14;158;2;0,42;0,43;0,05;101,04;13,5;49;11;22,4;4,44;17,6;4,45;0,11;0,4;48,7;69;0,5;0,33;0,06;0,65;0,11;19,4;21,4;968;29,7;33,7;<0.1;0,02;1,15;15,2;<2;3,6;61,8;1,36;1,08;0,08;18,8;0,7;0,78;6,8;110;3,1;31,9;3,4;41;160;N.A.
RG-L-211;IBY855;SOLO;0,05;8,8;16;747;1,9;0,44;0,44;0,04;108,69;14,1;49;10;22,9;5,02;19;4,41;0,09;0,34;50,3;79;0,52;0,3;0,05;1,1;0,27;18,1;22,8;1098;31,5;27,2;<0.1;0,02;1,02;14,9;<2;3,6;49,9;1,59;1,1;<0.05;19,7;0,72;0,74;5,1;127;2,8;30;3,4;40;165,6;N.A.
RG-L-212;IBY856;SOLO;0,04;8,51;18;614;1,8;0,44;0,37;<0.02;116,18;14,1;45;11;22,8;4,9;19,2;4,53;0,1;0,27;49,5;75;0,49;0,29;0,04;0,99;0,21;19,5;22,9;715;31,3;23,6;<0.1;0,02;0,89;15,2;<2;3,8;42,4;1,08;1,09;0,08;20,4;0,78;0,75;4,7;125;2,6;28,9;3,3;36;164;N.A.
RG-L-213;IBY857;SOLO;0,05;6,9;13;101;2,1;0,4;0,39;0,04;101,92;12,5;45;10;19,7;4,08;15,9;4,1;0,1;0,17;45,5;73;0,47;0,23;0,04;0,6;0,03;16,7;19,4;592;29,1;16,3;<0.1;0,02;0,74;12,8;<2;3,3;33,2;1,05;0,98;<0.05;18,8;0,66;0,71;3,7;105;2;26,5;3,1;27;147,7;N.A.
RG-L-214;IBY858;SOLO;0,05;7,57;17;96;2;0,43;0,59;0,06;106,41;13,4;46;9;22,5;4,29;17,6;4,33;0,06;0,17;49;68;0,52;0,25;0,05;1,04;0,04;17,6;21,3;743;30,8;17,9;<0.1;0,03;0,89;14;<2;3,5;32,9;1,03;1,1;0,16;19,2;0,74;0,7;3,4;110;2,6;30,1;3,6;27;150,9;N.A.
RG-L-215;IBY859;SOLO;0,06;9,31;19;1370;2,3;0,45;0,5;<0.02;105,96;14,5;57;10;22,6;5,11;21;5,23;0,09;0,37;46;93;0,52;0,33;0,04;1,73;0,52;20,3;24,9;549;30,8;24,6;<0.1;0,02;1,28;17,1;<2;3,8;38,4;1,75;1,07;0,09;19,8;0,69;0,73;4;135;3,1;27,9;3,4;29;192,4;N.A.
RG-L-216;IBY860;SOLO;0,05;8,02;11;325;2,9;0,43;0,15;<0.02;68,24;10,4;48;10;22,4;3,97;19;4,51;0,05;1,92;29,7;80;0,43;0,63;0,05;0,4;0,33;11,9;26,5;267;23,3;113,7;<0.1;0,01;0,73;13,6;<2;3,8;38,1;1,1;0,8;<0.05;13;0,41;0,84;3,2;81;1,8;21,5;2,8;47;146,8;N.A.
RG-L-217;IBY861;SOLO;0,05;7,38;9;864;2,8;0,29;1,51;0,02;71,43;10,6;43;8;19,8;3,68;16,4;3,94;0,08;2,08;40,2;66;0,42;0,92;0,06;0,75;0,56;10,8;27,7;754;17,9;97,7;<0.1;0,03;0,62;11,9;<2;3,1;88,7;0,85;0,79;<0.05;12;0,39;0,64;3,9;76;1,8;24,3;2,9;52;133;N.A.
RG-L-218;IBY862;SOLO;0,04;8,1;12;355;2,7;0,34;0,24;<0.02;75,21;10,7;43;10;22,2;3,95;19,1;4,76;0,08;1,82;38,8;80;0,47;0,72;0,07;0,41;0,31;11,8;27,7;321;22,7;109,1;<0.1;0,02;0,7;14,1;<2;3,4;27,6;1,22;0,84;<0.05;13,4;0,37;0,75;3,6;89;2;24,7;3;48;159,2;N.A.
RG-L-219;IBY863;SOLO;0,06;8,05;13;699;3;0,36;0,29;<0.02;79,39;11,1;42;10;21,4;3,99;18,2;7,62;0,07;1,67;35,7;79;0,39;0,59;0,06;0,77;0,31;14,2;26,8;336;23,9;108,4;<0.1;0,02;0,68;12;<2;3,5;33,7;2,74;0,81;<0.05;13,3;0,36;0,83;3;86;1,7;22,4;2,7;42;129,7;N.A.
RG-L-220;IBY864;SOLO;0,06;8,1;14;356;2,8;0,31;0,37;<0.02;72,77;11,1;48;9;24;4,11;18,3;3,89;0,04;2,08;38,3;73;0,43;0,68;0,07;0,39;0,28;10;29,4;477;21,8;113,1;<0.1;0,03;0,81;11,9;<2;3,3;39,3;0,64;0,84;<0.05;12,4;0,32;0,77;3,1;89;1,6;24,1;2,9;52;127;N.A.
RG-L-221;IBY865;SOLO;0,08;8,18;9;376;2,6;0,34;0,3;<0.02;74,45;11,9;46;9;25,9;4,09;19,2;4,18;0,1;2,2;41,8;64;0,47;0,66;0,08;0,35;0,24;12,5;29,6;330;21,9;120,6;<0.1;0,02;0,62;13,3;<2;3,7;35,6;0,73;0,91;<0.05;13,2;0,35;0,81;3,3;91;1,8;26,8;3,2;55;136,6;N.A.
RG-L-222;IBY866;SOLO;0,12;7,61;10;365;2,6;0,23;0,19;<0.02;58,38;14;44;9;26,8;3,91;20,9;3,61;0,07;2;30;62;0,37;0,58;0,08;0,5;0,2;15,6;31,4;298;17;145,8;<0.1;0,01;0,89;14;<2;3,8;23,4;0,72;0,74;0,08;10,5;0,43;0,59;2,3;85;1,3;29,2;2,3;59;164,9;N.A.
RG-L-223;IBY867;SOLO;0,07;7,13;9;410;2,7;0,22;0,23;<0.02;62,19;10;35;8;23,5;3,31;19,3;3,64;0,02;1,83;34,9;51;0,35;0,48;0,08;0,37;0,21;15,9;27,9;263;14,3;126,7;<0.1;0,01;0,57;12,9;<2;3,5;36,7;0,43;0,71;<0.05;11,1;0,49;0,5;2,3;73;0,7;30,3;2,2;79;166;N.A.
RG-L-224;IBY868;SOLO;0,06;7,76;11;422;2,9;0,25;0,2;<0.02;60,65;11,3;43;9;25,7;3,69;20,5;5,74;0,07;1,93;33;68;0,34;0,57;0,09;0,38;0,25;18,8;28,3;309;16;132,7;<0.1;0,02;0,6;14,4;<2;3,7;39,9;0,61;0,68;0,06;10,8;0,45;0,54;2,5;83;0,7;29,3;2,3;51;164,3;N.A.
RG-L-225;IBY869;SOLO;0,08;7,19;10;907;2,9;0,25;0,23;<0.02;63,07;13,5;41;9;26,4;3,58;19,6;3,52;0,06;1,85;34,3;60;0,33;0,51;0,09;0,9;0,43;15,7;27,3;278;16,8;127;<0.1;0,01;0,69;14,3;<2;3,6;45,7;0,88;0,67;0,11;10,9;0,46;0,5;2,5;77;0,9;29,8;2,2;45;167,3;N.A.
RG-L-226;IBY870;SOLO;0,03;6,23;9;339;2,3;0,2;0,25;<0.02;60,77;13,3;36;7;22,2;3,24;16,8;3,31;0,09;1,56;31,4;51;0,31;0,44;0,1;0,38;0,26;14,7;25,5;259;16;106,6;<0.1;0,02;0,7;11,9;<2;3,5;38,4;0,62;0,61;0,09;9,9;0,41;0,43;2,1;68;1,1;26,2;2;43;155,5;N.A.
RG-L-227;IBY871;SOLO;0,02;5,43;9;341;2,7;0,2;0,32;0,03;63,74;8,1;34;7;23,1;2,03;14,9;3,43;0,06;1,43;37,7;46;0,32;0,39;0,09;0,47;0,23;18,4;22,7;257;11,8;103,9;<0.1;0,02;0,53;11,2;<2;3,2;52,6;0,63;0,69;<0.05;11,6;0,56;0,39;2,5;60;1;28,7;2,3;31;158,2;N.A.
RG-L-228;IBY872;SOLO;0,06;5,55;9;300;1,9;0,19;0,41;<0.02;57,18;11,8;34;6;21,9;2,86;14;3,01;<0.02;1,31;30,9;46;0,27;0,4;0,11;0,4;0,31;14,5;22,9;262;14;90,1;<0.1;0,02;0,7;11,4;<2;2,9;44,9;0,66;0,57;<0.05;9,2;0,38;0,37;2;60;1,2;24;1,9;40;148,1;N.A.
RG-L-229;IBY873;SOLO;0,08;6,37;25;348;2,6;0,21;0,26;<0.02;69,34;18,2;36;7;24,8;3,64;16,4;3,36;0,02;1,57;35;51;0,3;0,44;0,15;0,53;0,26;15,7;26,9;289;18,4;108;<0.1;0,02;0,72;11,6;<2;3,4;42,7;0,58;0,63;0,09;10,5;0,49;0,41;2,3;73;1,2;27,8;2,1;42;156,5;N.A.
RG-L-230;IBY874;SOLO;0,07;6,93;13;372;2,8;0,24;0,31;0,04;61,49;14,5;42;9;23;3,57;18,7;2,99;0,03;1,52;32,7;74;0,29;0,48;0,11;0,48;0,21;13,6;23,1;316;16,4;123,3;<0.1;0,02;0,38;12,9;<2;3,6;43,3;0,19;0,58;<0.05;11,6;0,48;0,48;2,3;79;0,6;23,7;1,9;47;144;N.A.
RG-L-231;IBY875;SOLO;0,06;1,7;6;145;0,7;0,08;0,21;0,07;18,19;4,7;9;<5;16,2;1,25;4,5;0,94;<0.02;0,31;12,7;12;0,09;0,12;0,07;0,27;0,03;4,4;11,9;254;6,1;28;<0.1;0,02;0,46;3,2;<2;1,3;13,1;<0.05;0,2;<0.05;3;0,13;0,14;0,7;20;0,4;9,6;0,7;12;39,1;N.A.
RG-L-232;IBY876;SOLO;0,05;3,81;8;198;1,5;0,13;0,25;0,04;42,75;8,9;17;<5;19;1,99;9,7;1,98;<0.02;0,61;23,1;33;0,2;0,21;0,07;0,29;0,07;5,2;15,8;241;9,3;55;<0.1;0,01;0,53;6,7;<2;2,2;19,8;0,09;0,38;0,06;7,1;0,29;0,27;1,2;41;0,3;17,3;1,3;19;90,3;N.A.
RG-L-233;IBY877;SOLO;0,14;4,62;17;345;1,4;0,21;8,66;0,62;78,31;10,8;31;<5;31,9;2,11;10,3;0,1;0,07;1,27;36,2;61;0,47;0,68;0,11;0,42;0,06;1,3;19,2;>10000;20,6;76,5;<0.1;0,04;0,15;7,2;<2;1,1;169,8;<0.05;0,83;0,06;12,8;0,16;0,49;4,2;50;0,7;26,7;3;119;6,7;3,17
RG-L-234;IBY878;SOLO;0,1;5,06;8;440;1,5;0,24;7,8;0,28;82,46;10,7;33;6;21,6;2,62;11,4;0,47;0,05;1,68;37,5;95;0,5;0,67;0,1;0,26;0,06;1,5;18,2;>10000;20,3;87,8;<0.1;0,02;0,14;7,5;<2;1;152,4;0,12;0,85;<0.05;14;0,14;0,56;5,1;59;1,1;28,6;3,3;75;30,1;2,99
RG-L-235;IBY879;SOLO;0,12;5,58;7;409;1,7;0,28;1,68;0,14;92,33;9,9;20;6;24,8;2,54;13,2;0,41;0,03;1,64;45;60;0,52;0,53;0,08;0,18;0,06;0,3;17;4216;20;94;<0.1;<0.01;<0.05;9;<2;0,4;67,4;0,23;0,89;0,09;16,1;0,13;0,63;4,3;58;0,2;25,8;3,4;55;23,3;N.A.
RG-L-236;IBY880;SOLO;0,16;6,46;9;286;2,1;0,28;4,49;0,24;85,05;10,5;36;7;24,5;3,19;13,9;3,12;0,04;1,44;42,5;61;0,41;0,6;0,1;0,73;0,05;10,6;22;2999;21,6;99;<0.1;0,05;0,46;10;<2;2,5;48,8;0,58;0,81;0,08;13,9;0,38;0,67;2,2;59;1,9;25;2,8;48;109;N.A.
RG-L-237;IBY881;SOLO;0,17;5,25;7;348;1,6;0,28;0,54;0,11;81,52;7,5;30;5;26,2;1,95;12,3;4,25;0,09;1,63;44,3;40;0,5;0,37;0,08;0,36;0,11;16,7;14,6;1238;18,5;113,7;<0.1;0,03;0,4;10,1;<2;2,6;44,4;1,32;0,96;<0.05;15,9;0,5;0,63;3,2;57;2,2;23,1;3;60;138,5;N.A.
RG-L-238;IBY882;SOLO;0,16;4,41;7;316;1,6;0,25;0,67;0,06;88,73;7,8;22;<5;22;1,86;9,9;3,69;0,04;1,03;54;36;0,51;0,35;0,1;0,17;0,04;5,9;12,1;379;15,3;88,4;<0.1;0,02;0,21;8;<2;2,3;22,7;0,28;1,02;<0.05;17,3;0,56;0,53;3;48;0,5;26,9;3,4;41;119,1;N.A.
RG-L-239;IBY883;SOLO;0,16;4,93;8;327;1,5;0,28;0,45;0,04;92,16;8,7;24;5;19,9;1,91;11,3;3,74;0,04;1,15;54,7;44;0,53;0,38;0,1;0,27;0,03;4;12,9;396;17,3;100,6;<0.1;0,02;0,23;9;<2;2,3;15,5;0,13;1,07;0,05;18,8;0,52;0,6;3,2;54;0,2;27,2;3,5;35;127,8;N.A.
RG-L-240;IBY884;SOLO;0,16;7,33;16;382;2,4;0,31;0,19;<0.02;105,32;14,9;36;7;22,6;4,05;16,5;4,18;0,07;1,36;58,8;64;0,6;0,43;0,11;0,34;0,04;6,9;21,3;385;25,4;124,1;<0.1;0,01;0,3;11,4;<2;2,8;16,8;0,2;1,21;0,08;18,9;0,47;0,8;3,2;82;0,4;31,4;4;35;131;N.A.
RG-L-241;IBY885;SOLO;0,12;6,44;11;319;2,3;0,3;0,17;0,03;104,23;12,4;33;6;18,2;3,75;14,6;3,89;0,05;1,33;49,3;55;0,53;0,41;0,08;0,24;0,03;8,2;19;311;24,7;114,8;<0.1;0,01;0,29;9,8;<2;2,5;13,4;0,2;1,07;<0.05;16,9;0,44;0,71;2,8;73;0,5;27;3,5;33;124,1;N.A.
BRANCO_PREP;;SOLO;<0.02;0,11;<1;6;0,1;<0.04;0,02;<0.02;1,28;0,2;<1;<5;2;0,36;0,2;0,13;<0.02;<0.01;0,8;5;<0.01;<0.01;<0.01;0,21;<0.01;0,3;1;<50;1,1;1,8;<0.1;<0.01;<0.05;<0.5;<2;0,7;0,6;0,14;<0.05;<0.05;0,3;<0.01;<0.02;<0.1;<1;<0.1;0,3;<0.1;<1;4,4;N.A.
RG-L-242;IBY886;SOLO;0,16;5,71;14;267;2;0,24;0,21;0,02;71,76;10,8;32;6;15,4;3,92;12,8;3,04;0,04;1,29;33,8;54;0,5;0,38;0,04;0,31;0,03;7,4;16,4;347;18,6;103,1;<0.1;0,01;0,29;8,4;<2;2,4;12,4;0,07;0,69;<0.05;13,5;0,35;0,56;2,4;76;0,7;23,8;3;26;118,5;N.A.
RG-L-243;IBY887;SOLO;0,18;5,2;14;358;2,5;0,16;0,23;0,04;63,32;11,4;29;6;18,2;3,33;14,1;2,88;<0.02;1,58;29,6;50;0,35;0,49;0,06;0,43;0,05;14,2;17,8;320;14;125,5;<0.1;0,01;0,32;9,5;<2;3;13,9;0,46;0,64;<0.05;11;0,41;0,49;1,9;73;0,9;26,9;2,2;36;127,9;N.A.
RG-L-244;IBY888;SOLO;0,32;6,43;5;371;2,7;0,17;0,65;0,03;62,6;5,2;29;6;20,1;2,59;16,2;2,64;0,04;1,98;31,7;45;0,32;0,73;0,01;0,3;0,06;12,7;17,3;257;13,5;133,8;<0.1;0,02;0,16;11,1;<2;3,2;21,4;0,27;0,63;<0.05;10,8;0,37;0,53;2;68;0,9;27,3;2,1;37;119,7;N.A.
RG-L-245;IBY889;SOLO;0,36;4,26;2;227;1,7;0,09;8,26;0,19;46,28;2,9;14;<5;19,2;1,61;9,9;1,81;0,03;1,21;23,9;30;0,23;0,7;<0.01;0,25;0,06;10,3;13,7;817;9,9;87,9;<0.1;0,05;0,09;6,9;<2;1,9;33,9;0,25;0,46;<0.05;7,3;0,26;0,34;1,2;20;0,7;22,4;1,6;36;79,3;N.A.
RG-L-246;IBY890;SOLO;0,24;4,5;7;365;1,5;0,12;0,32;0,06;67,34;11,7;14;<5;21,7;2,01;11,4;2,65;<0.02;1,57;34,1;34;0,39;0,43;0,08;0,08;0,05;0,8;11,9;278;13,9;100,5;<0.1;0,01;0,15;8,4;<2;2,1;13,4;<0.05;0,65;<0.05;11,7;0,35;0,38;2,2;33;<0.1;28,4;2,5;33;115,8;N.A.
RG-L-247;IBY891;SOLO;0,27;6,1;9;458;2,3;0,15;0,25;0,02;66,02;9,5;17;<5;20,2;2,63;15,1;2,79;0,03;2,16;30,8;39;0,35;0,55;0,05;0,33;0,07;1,7;14,7;275;14;129,2;<0.1;0,01;0,17;9,5;<2;2,7;14,4;<0.05;0,6;<0.05;12,4;0,34;0,44;2,6;43;<0.1;26,9;2,3;50;117,1;N.A.
RG-L-248;IBY892;SOLO;0,32;6,87;10;631;2,4;0,15;0,44;0,13;65,46;10,5;13;<5;19,8;2,64;16,1;2,8;0,05;2,81;34,1;38;0,34;0,69;0,07;0,48;0,11;5,3;16,8;401;14,7;149,5;<0.1;0,02;0,09;10;<2;3;23,6;<0.05;0,63;<0.05;12,1;0,34;0,48;2;38;0,2;27,8;2,3;53;117,5;N.A.
RG-L-249;IBY893;SOLO;0,12;7,97;8;633;2,8;0,17;0,57;0,09;62,27;10,1;18;5;19,7;3,07;17,9;2,89;0,03;3,41;33,6;43;0,34;0,69;0,07;0,37;0,18;11;19,4;407;14,5;156,6;<0.1;0,02;0,12;11,3;<2;2,8;27,4;0,11;0,65;<0.05;12,7;0,38;0,52;2,3;44;0,5;27;2,3;57;134,9;N.A.
RG-L-250;IBY894;SOLO;0,1;7,76;15;150;1,6;0,23;0,1;<0.02;68,1;12,6;25;11;19,2;3,67;19,4;2,31;0,05;0,35;27,7;64;0,35;0,22;0,02;0,58;0,04;2,4;25,3;262;17,4;37,2;<0.1;0,01;0,53;14,6;<2;2,6;11,2;<0.05;0,76;0,05;10,7;0,36;0,5;1,6;66;0,2;27,7;2,5;30;98,1;N.A.
RG-L-251;IBY895;SOLO;0,16;6,67;15;131;1,8;0,22;0,13;<0.02;61,82;11,5;24;10;20,4;3,35;16,2;2,46;0,04;0,37;27,6;56;0,33;0,22;0,03;0,87;0,06;13,7;21,6;297;17;38,9;<0.1;0,02;0,86;13,3;<2;3,3;13,5;0,78;0,74;0,08;10,3;0,44;0,46;1,6;71;1,5;24,7;2,4;26;107,7;N.A.
Pulp Duplicates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RG-L-250;IBY894;REP;0,08;8,13;17;134;1,6;0,22;0,1;<0.02;66,98;12,8;27;11;20,2;3,8;19,4;2,56;0,08;0,35;27,3;65;0,35;0,23;0,02;0,82;0,06;2,2;24,8;278;17,1;40,6;<0.1;0,01;0,82;17;<2;3,2;11,6;0,07;0,75;0,06;10,5;0,39;0,48;1,6;73;0,4;27,6;2,3;32;108,3;--
RG-L-242;IBY886;REP;0,16;5,75;15;270;2,1;0,18;0,21;<0.02;66,01;12;35;7;17,2;3,91;14,1;2,56;0,03;1,29;29,2;54;0,33;0,39;0,04;0,42;0,03;7,7;18,1;352;14,5;113,3;<0.1;0,02;0,37;9,7;<2;2,9;12,2;0,05;0,64;<0.05;10,3;0,36;0,45;1,8;76;0,6;26,5;2,6;27;114,4;--
BRANCO_PREP;;REP;0,02;0,11;<1;6;<0.1;<0.04;0,01;<0.02;1,22;0,2;<1;<5;2,4;0,36;0,2;0,12;<0.02;<0.01;0,7;5;<0.01;<0.01;<0.01;0,22;<0.01;0,3;1,4;<50;1,1;1,6;<0.1;<0.01;<0.05;<0.5;<2;0,7;<0.5;0,16;<0.05;<0.05;0,2;<0.01;<0.02;<0.1;<1;<0.1;0,2;<0.1;<1;4,3;--
Reference Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
